,State,Link
0,Alabama,/regions/southeast/alabama.htm#eag
1,Alaska,/regions/west/alaska.htm#eag
2,Arizona,/regions/west/arizona.htm#eag
3,Arkansas,/regions/southwest/arkansas.htm#eag
4,California,/regions/west/california.htm#eag
5,Colorado,/regions/mountain-plains/colorado.htm#eag
6,Connecticut,/regions/new-england/connecticut.htm#eag
7,Delaware,/regions/mid-atlantic/delaware.htm#eag
8,District of Columbia,/regions/mid-atlantic/district_of_columbia.htm#eag
9,Florida,/regions/southeast/florida.htm#eag
10,Georgia,/regions/southeast/georgia.htm#eag
12,Hawaii,/regions/west/hawaii.htm#eag
13,Idaho,/regions/west/idaho.htm#eag
14,Illinois,/regions/midwest/illinois.htm#eag
15,Indiana,/regions/midwest/indiana.htm#eag
16,Iowa,/regions/midwest/iowa.htm#eag
17,Kansas,/regions/mountain-plains/kansas.htm#eag
18,Kentucky,/regions/southeast/kentucky.htm#eag
19,Louisiana,/regions/southwest/louisiana.htm#eag
20,Maine,/regions/new-england/maine.htm#eag
21,Maryland,/regions/mid-atlantic/maryland.htm#eag
22,Massachusetts,/regions/new-england/massachusetts.htm#eag
23,Michigan,/regions/midwest/michigan.htm#eag
24,Minnesota,/regions/midwest/minnesota.htm#eag
25,Mississippi,/regions/southeast/mississippi.htm#eag
26,Missouri,/regions/mountain-plains/missouri.htm#eag
27,Montana,/regions/mountain-plains/montana.htm#eag
28,Nebraska,/regions/midwest/nebraska.htm#eag
29,Nevada,/regions/west/nevada.htm#eag
30,New Hampshire,/regions/new-england/new_hampshire.htm#eag
31,New Jersey,/regions/new-york-new-jersey/new_jersey.htm#eag
32,New Mexico,/regions/southwest/new_mexico.htm#eag
33,New York,/regions/new-york-new-jersey/new_york.htm#eag
34,North Carolina,/regions/southeast/north_carolina.htm#eag
35,North Dakota,/regions/midwest/north_dakota.htm#eag
36,Ohio,/regions/midwest/ohio.htm#eag
37,Oklahoma,/regions/southwest/oklahoma.htm#eag
38,Oregon,/regions/west/oregon.htm#eag
39,Pennsylvania,/regions/mid-atlantic/pennsylvania.htm#eag
40,Puerto Rico,/regions/new-york-new-jersey/puerto_rico.htm#eag
41,Rhode Island,/regions/new-england/rhode_island.htm#eag
42,South Carolina,/regions/southeast/south_carolina.htm#eag
43,South Dakota,/regions/midwest/south_dakota.htm#eag
44,Tennessee,/regions/southeast/tennessee.htm#eag
45,Texas,/regions/southwest/texas.htm#eag
46,Utah,/regions/mountain-plains/utah.htm#eag
47,Vermont,/regions/new-england/vermont.htm#eag
48,Virginia,/regions/mid-atlantic/virginia.htm#eag
49,Virgin Island,/regions/new-york-new-jersey/virgin_islands.htm#eag
50,Washington,/regions/west/washington.htm#eag
51,West Virginia,/regions/mid-atlantic/west_virginia.htm#eag
52,Wisconsin,/regions/midwest/wisconsin.htm#eag
53,Wyoming,/regions/mountain-plains/wyoming.htm#eag
